Make,Model,Logo,janv-12,Feb-12,mars-12,Apr-12,May-12,juin-12,juil-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,janv-13,Feb-13,mars-13,Apr-13,May-13,juin-13,juil-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,janv-14,Feb-14,mars-14,Apr-14,May-14,juin-14,juil-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,janv-15,Feb-15,mars-15,Apr-15,May-15,juin-15,juil-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,janv-16,Feb-16,mars-16,Apr-16,May-16,juin-16,juil-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,janv-17,Feb-17,mars-17,Apr-17,May-17,juin-17,juil-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,janv-18,Feb-18,mars-18,Apr-18,May-18,juin-18,juil-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,janv-19,Feb-19,mars-19,Apr-19,May-19,juin-19,juil-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
Chevrolet,Volt,https://www.carlogos.org/logo/Chevrolet-logo-2013-2560x1440.png,603,1626,3915,5377,7057,8817,10666,13497,16348,19309,20828,23461,24601,26227,27705,29011,30618,33316,35104,38455,40221,42243,44163,46555,47473,48683,50161,51709,53393,55170,57190,59701,61095,62534,63870,65360,65902,66595,67234,68139,69757,70982,72295,73675,74624,76659,78639,80753,81749,82875,84740,86723,88624,90561,92967,95048,97079,99270,101801,105492,107103,108923,111055,112862,114679,116424,117942,119387,120840,122202,123904,125841,126554,127537,129319,130644,132319,133655,135130,136955,139084,140559,143089,144147,144822,145437,146667,147072,147481,147813,148063,148337,148687,148757,148907,149057
Toyota,Prius PHV,https://www.carlogos.org/logo/Toyota-logo-1989-2560x1440.png,0,21,912,2566,3652,4347,5035,6082,7734,9623,11389,12750,13624,14317,15103,15702,16380,16964,17781,19572,20724,22819,23919,24838,25641,26682,28134,29875,32567,34138,35509,36327,36680,37159,37610,38102,38503,38900,39373,39801,40528,40992,41576,41920,42136,42227,42271,42293,42303,42309,42316,42320,42324,42335,42339,42341,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345
Nissan,Leaf,https://www.carlogos.org/logo/Nissan-logo-2013-1440x900.png,676,1154,1733,2103,2613,3148,3543,4228,5212,6791,8330,9819,10469,11122,13358,15295,17433,19658,21522,23942,25895,27897,29900,32429,33681,35106,37613,39701,42818,45165,48184,51370,54251,56840,59527,62629,63699,64897,66714,68267,70371,72445,73619,75012,76259,77497,78551,79898,80653,81583,82829,83616,84595,85691,86754,87820,89136,90548,92005,93904,94676,95713,97191,98254,99646,101152,102435,103589,104644,104857,105032,105134,105284,106179,107679,108850,110426,111793,112942,114257,115820,117054,118182,119849,120566,121220,122534,123485,124701,125857,126795,127912,128960,129847,130987,132214
Tesla,Model S,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,0,,,,,12,31,74,160,460,860,2650,3850,5250,7550,9650,11350,12700,14000,15300,16800,17600,18800,20300,21100,22189,23489,24589,25589,27089,27889,28489,30989,32289,33489,36989,38089,39239,41689,43389,45789,48589,50189,51489,53989,55889,58591,62191,63041,64591,68581,69381,70581,74281,76235,79087,83437,84137,85237,91087,91987,93737,97187,98312,99932,102282,103707,105857,110717,111837,113172,118147,118947,120072,123447,124697,126217,128967,130167,132792,136542,137892,140642,143892,144617,145242,147517,148342,149367,151117,152092,153142,154242,154992,156492,157992
Ford,C-Max Energi,https://www.carlogos.org/logo/Ford-logo-2003-1366x768.png,0,,,,,,,,,144,1403,2374,2712,3046,3540,3951,4401,4856,5289,5910,6668,7760,8701,9528,9999,10551,11161,11686,12468,13456,14287,15337,16014,16658,17302,17961,18356,18854,19569,20122,20837,21504,22197,22920,23639,24334,24973,25552,25902,26392,27002,27609,28147,28777,29532,30239,30928,31499,32220,33509,33982,34621,35283,36003,36953,37889,38733,39438,40121,40690,41213,41649,41883,42025,42130,42187,42205,42211,42215,42219,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231
Ford,Focus Electric,https://www.carlogos.org/logo/Ford-logo-2003-1366x768.png,2,2,2,2,8,97,135,169,228,346,518,680,761,919,1099,1246,1403,1580,1730,1905,2015,2130,2260,2418,2518,2647,2824,2940,3117,3314,3512,3776,3952,4138,4329,4382,4467,4612,4752,4876,5041,5193,5328,5504,5649,5775,5868,5964,6030,6111,6221,6302,6356,6410,6468,6543,6625,6698,6764,6865,6921,7149,7556,7681,7813,7923,8071,8202,8333,8448,8569,8682,8752,8825,8962,9045,9133,9183,9229,9236,9240,9240,9241,9242,9242,9242,9242,9242,9242,9242,9242,9242,9242,9242,9242,9242
Mitsubishi,i-MiEV,https://www.carlogos.org/logo/Mitsubishi-logo-2000x2500.png,36,80,136,215,300,333,366,403,439,469,511,588,845,1182,1213,1340,1431,1470,1516,1546,1566,1594,1606,1617,1618,1621,1645,1657,1692,1714,1731,1751,1766,1783,1801,1813,1816,1818,1828,1844,1862,1885,1897,1903,1906,1915,1919,1928,1930,1935,1936,1942,1944,1948,1968,1993,2010,2014,2019,2022,2023,2026,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028
Toyota,Rav4 EV,https://www.carlogos.org/logo/Toyota-logo-1989-2560x1440.png,0,,,,,,,,61,108,140,192,217,269,402,472,556,600,709,940,1107,1198,1260,1288,1351,1452,1525,1594,1743,1834,1902,2130,2255,2352,2435,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472
Honda,Fit EV,https://www.carlogos.org/logo/Honda-logo-1920x1080.png,0,,,,,,7,16,32,48,74,93,101,116,139,161,176,384,447,513,548,588,611,662,692,725,762,812,845,883,925,980,1009,1032,1037,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069
Ford,Fusion Energi,https://www.carlogos.org/logo/Ford-logo-2003-1366x768.png,0,,,,,,,,,,,,,119,414,778,1194,1584,1991,2591,3341,4428,5298,6089,6622,7401,8300,9043,10385,12324,13550,14772,15412,16098,16850,17639,18065,18668,19505,20216,21202,21929,22781,23730,24538,25387,26331,27389,27970,28902,30140,31471,32924,34624,35965,37387,39039,40411,42228,43327,43933,44770,45772,46677,47677,48384,49087,49849,50612,51353,52084,52959,53599,54393,55175,55917,56657,57261,57783,58179,58659,59112,60243,61033,61590,62163,62774,63359,63964,64639,65359,65979,66679,67279,67879,68557
