,Sales
01-01-2012,1317.0
01-02-2012,2883.0
01-03-2012,6698.0
01-04-2012,10263.0
01-05-2012,13630.0
01-06-2012,16754.0
01-07-2012,19783.0
01-08-2012,24469.0
01-09-2012,30214.0
01-10-2012,37298.0
01-11-2012,44053.0
01-12-2012,52607.0
01-01-2013,57184.0
01-02-2013,62588.0
01-03-2013,70570.0
01-04-2013,77708.0
01-05-2013,85162.0
01-06-2013,93454.0
01-07-2013,100846.0
01-08-2013,112119.0
01-09-2013,121046.0
01-10-2013,131101.0
01-11-2013,140104.0
01-12-2013,150114.0
01-01-2014,155794.0
01-02-2014,162824.0
01-03-2014,172474.0
01-04-2014,181369.0
01-05-2014,193731.0
01-06-2014,205794.0
01-07-2014,217036.0
01-08-2014,229208.0
01-09-2014,240129.0
01-10-2014,249868.0
01-11-2014,259514.0
01-12-2014,272552.0
01-01-2015,278609.0
01-02-2015,285560.0
01-03-2015,295901.0
01-04-2015,304995.0
01-05-2015,316535.0
01-06-2015,326899.0
01-07-2015,335850.0
01-08-2015,344822.0
01-09-2015,354956.0
01-10-2015,364882.0
01-11-2015,374952.0
01-12-2015,388651.0
01-01-2016,394872.0
01-02-2016,402635.0
01-03-2016,416492.0
01-04-2016,427023.0
01-05-2016,438490.0
01-06-2016,453353.0
01-07-2016,466420.0
01-08-2016,481012.0
01-09-2016,498236.0
01-10-2016,509243.0
01-11-2016,522480.0
01-12-2016,547265.0
01-01-2017,558270.0
01-02-2017,570647.0
01-03-2017,589188.0
01-04-2017,602553.0
01-05-2017,619149.0
01-06-2017,636195.0
01-07-2017,651735.0
01-08-2017,668249.0
01-09-2017,689491.0
01-10-2017,703806.0
01-11-2017,720976.0
01-12-2017,747081.0
01-01-2018,759090.0
01-02-2018,775935.0
01-03-2018,802378.0
01-04-2018,822001.0
01-05-2018,846308.0
01-06-2018,871337.0
01-07-2018,900935.0
01-08-2018,937282.0
01-09-2018,981826.0
01-10-2018,1015900.0
01-11-2018,1058488.0
01-12-2018,1108388.0
01-01-2019,1125103.0
01-02-2019,1141994.0
01-03-2019,1169633.0
01-04-2019,1190888.0
01-05-2019,1219275.0
01-06-2019,1257092.0
01-07-2019,1283662.0
01-08-2019,1311327.0
01-09-2019,1344455.0
01-10-2019,1383630.0
01-11-2019,1414527.0
01-12-2019,1444943.0
